ID,original_length,rate_sim_1,dist_sim_1,rate_sim_2,dist_sim_2,rate_sim_5,dist_sim_5,rate_sim_10,dist_sim_10,rate_sim_20,dist_sim_20,rate_sim_40,dist_sim_40,rate_sim_60,dist_sim_60,rate_sim_80,dist_sim_80,rate_sim_100,dist_sim_100,rate_sim_1000,dist_sim_1000,rate_sim_10000,dist_sim_10000
22,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,865,0.638150289017341,1.6803944555906796,0.5942196531791908,1.9800111100353588,0.6543352601156069,5.0565920875243915,0.6416184971098265,10.124733373082144,0.6023121387283237,19.849150248249213,0.5884393063583815,39.69204545344142,0.5895953757225434,60.367665770780995,0.5757225433526012,80.63871490715923,0.5086705202312138,100.37938617510065,0.39075144508670523,961.9055970634504,0.63121387283237,6714.234183199518
24,2030,0.9073891625615763,1.6795691744956116,0.9024630541871921,2.113848703413547,0.8817733990147784,5.125771258330605,0.8561576354679803,10.095002428110835,0.8206896551724138,20.078394571856556,0.7832512315270936,49.62652965652511,0.7600985221674876,60.91855696573428,0.7226600985221675,80.71767155240869,0.7078817733990148,100.98290461964257,0.38571428571428573,1014.8427262141522,0.8167487684729065,9236.77628789318
25,2260,0.8845132743362832,1.3007317345971032,0.8738938053097345,2.189314388210122,0.8535398230088496,5.296505274012177,0.8283185840707965,13.495108312860875,0.7991150442477876,27.85062061663247,0.7646017699115044,40.22492205387863,0.7411504424778761,61.44328240397965,0.7238938053097345,84.18616987503935,0.702212389380531,101.07916069143624,0.36991150442477877,1171.5650450481862,0.8323008849557522,6843.096183133617
26,1544,0.6211139896373057,1.140820508523857,0.6198186528497409,1.9481569710358477,0.6107512953367875,5.102884107654759,0.6036269430051814,10.276779667541721,0.5926165803108808,22.63190154271829,0.5848445595854922,38.39492481493579,0.5757772020725389,57.00416559409429,0.564119170984456,76.47448063136868,0.5615284974093264,93.22378453366574,0.37370466321243523,1006.2703033982409,0.5019430051813472,9329.785510815102
27,1974,0.7806484295845998,1.7082102156452148,0.7684903748733536,2.1678651769263446,0.7497467071935157,4.993767649887236,0.71580547112462,10.463095797217228,0.6793313069908815,20.771268245676925,0.6499493414387031,40.69954758677348,0.6225937183383992,59.91274919757089,0.5952380952380952,96.3116582445867,0.5775075987841946,100.9942628453721,0.3606889564336373,1006.9252626743075,0.6484295845997974,10074.858443979814
28,6023,0.8736510044828159,1.6214928594974818,0.8188610327079529,2.4253636676669306,0.7199070230782002,5.4956569784097855,0.6246056782334385,15.499369200124054,0.5661630416735846,28.082146881853795,0.5336211190436659,40.40160298190567,0.5648347999335879,69.62941034110032,0.460401793126349,80.70354618899596,0.4037854889589905,101.0679601307794,0.20089656317449775,1609.2686319414352,0.9058608666777354,7266.998444574985
29,1404,0.8774928774928775,1.229317831960072,0.8646723646723646,2.00258051618368,0.8404558404558404,5.276634691790246,0.8162393162393162,9.82119528830729,0.7977207977207977,22.16700019256959,0.7713675213675214,40.62031237664754,0.7414529914529915,59.99730796330844,0.7264957264957265,89.95025612171146,0.7094017094017094,100.9097720123641,0.43162393162393164,1430.2137715381568,0.7371794871794872,5731.776619769471
30,1966,0.8575788402848423,1.055973505190088,0.8453713123092573,2.4284550907870175,0.8255340793489319,5.555718691522166,0.8087487283825026,11.276549881381051,0.7812817904374364,20.860451433167626,0.7512716174974567,40.421607705417394,0.7166836215666328,60.47226253975815,0.6968463886063072,80.24541334030235,0.6846388606307223,100.66841352764864,0.38046795523906407,1607.1082988059359,0.7914547304170906,6871.409653209226
31,3602,0.9094947251526929,1.537049054530785,0.8784008883953359,2.4215120353275545,0.7828983897834536,5.660444036216667,0.6887840088839534,17.012186450426128,0.6043864519711272,30.270295211785246,0.5460855080510827,49.4572113432794,0.5161021654636313,65.87453584014798,0.4850083287062743,81.23383882141243,0.4647418101054969,186.4027825246148,0.4039422543031649,1007.2321773867798,0.7701277068295391,9708.902123807213
