ID,original_length,rate_sim_1,dist_sim_1,rate_fbqs_1,dist_fbqs_1,rate_sim_2,dist_sim_2,rate_fbqs_2,dist_fbqs_2,rate_sim_5,dist_sim_5,rate_fbqs_5,dist_fbqs_5,rate_sim_10,dist_sim_10,rate_fbqs_10,dist_fbqs_10,rate_sim_20,dist_sim_20,rate_fbqs_20,dist_fbqs_20,rate_sim_40,dist_sim_40,rate_fbqs_40,dist_fbqs_40,rate_sim_60,dist_sim_60,rate_fbqs_60,dist_fbqs_60,rate_sim_80,dist_sim_80,rate_fbqs_80,dist_fbqs_80,rate_sim_100,dist_sim_100,rate_fbqs_100,dist_fbqs_100,rate_sim_1000,dist_sim_1000,rate_fbqs_1000,dist_fbqs_1000,rate_sim_10000,dist_sim_10000,rate_fbqs_10000,dist_fbqs_10000
36,464,0.625,100,0.3275862068965517,7832.84,0.6228448275862069,50,0.3297413793103448,7832.9,0.603448275862069,200,0.33405172413793105,8314.95,0.5991379310344828,111.978,0.3125,22906.6,0.5754310344827587,5919.28,0.3081896551724138,8317.8,0.5474137931034483,5919.28,0.28663793103448276,5981.59,0.5366379310344828,5919.28,0.27801724137931033,5973.92,0.5474137931034483,5955.19,0.25646551724137934,22906.6,0.5344827586206896,1367.9,0.25862068965517243,6543.77,0.4051724137931034,8863.07,0.21551724137931033,22940.6,0.21120689655172414,22964.8,0.09267241379310345,28343.1
37,426,0.6643192488262911,0,0.3403755868544601,495450,0.6596244131455399,0.000172633,0.3403755868544601,495450,0.6619718309859155,0.000172633,0.3403755868544601,495450,0.6455399061032864,395.517,0.3403755868544601,495450,0.6197183098591549,4844.62,0.3403755868544601,495450,0.5892018779342723,5875.82,0.33098591549295775,495450,0.5774647887323944,13071,0.32629107981220656,495450,0.5845070422535211,13071,0.32629107981220656,495450,0.57981220657277,13071,0.323943661971831,495450,0.4131455399061033,295251,0.2699530516431925,495445,0.3051643192488263,62818,0.11971830985915492,313275
38,1446,0.49100968188105115,2163.33,0.25587828492392806,6932.65,0.48893499308437066,2163.33,0.2565698478561549,5270.93,0.48824343015214383,2163.33,0.2517289073305671,29959.6,0.47441217150760717,2179.24,0.24619640387275243,29959.6,0.43568464730290457,18013.4,0.24965421853388658,29959.6,0.4536652835408022,2624.76,0.24204702627939143,30999.7,0.4280774550484094,4304.65,0.23374827109266944,29959.6,0.4197786998616874,4637,0.23098201936376211,30999.7,0.4170124481327801,6863.3,0.22959889349930843,29959.6,0.2648686030428769,10581.5,0.19847856154910096,31014.8,0.23236514522821577,35115.2,0.05325034578146611,29938.1
39,1890,0.6687830687830688,1104.54,0.3523809523809524,8121.58,0.6634920634920635,1104.54,0.3513227513227513,8114.3,0.6402116402116402,1763.18,0.3439153439153439,8117.39,0.6253968253968254,6901.72,0.33174603174603173,44205.9,0.6063492063492063,4885.28,0.3296296296296296,8124.31,0.5793650793650794,9734.74,0.3253968253968254,8124.31,0.5740740740740741,9734.74,0.317989417989418,8124.31,0.5544973544973545,10340.1,0.32116402116402115,8124.31,0.5502645502645502,10340.1,0.3164021164021164,8129.67,0.29788359788359786,41546.9,0.273015873015873,43828.1,0.1402116402116402,48705,0.07142857142857142,10325.2
40,7,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.7142857142857143,9305.91,0.0,-1,0.5714285714285714,9305.91,0.0,-1,0.5714285714285714,9305.91,0.0,-1
41,1792,0.45982142857142855,141.498,0.23660714285714285,20679.3,0.45479910714285715,614.439,0.23549107142857142,20679.3,0.4525669642857143,198.249,0.23493303571428573,20679.3,0.44754464285714285,198.687,0.23772321428571427,20679.3,0.43582589285714285,941.4,0.23214285714285715,20679.3,0.4095982142857143,5995.01,0.23325892857142858,20679.3,0.40011160714285715,4961.9,0.23549107142857142,20679.3,0.39285714285714285,4961.54,0.22879464285714285,20688.8,0.38839285714285715,4961.54,0.22488839285714285,20688.8,0.11160714285714286,35422.7,0.18805803571428573,20650,0.12667410714285715,35443.2,0.04241071428571429,20724.7
42,1575,0.49206349206349204,900.018,0.27111111111111114,44989.7,0.3473015873015873,44979.1,0.26857142857142857,44989.7,0.4749206349206349,44968.9,0.2653968253968254,45016.3,0.4641269841269841,44968.9,0.26285714285714284,45016.3,0.45714285714285713,44968.9,0.2577777777777778,45016.3,0.4311111111111111,5115.77,0.2507936507936508,45016.3,0.3942857142857143,11807.4,0.23873015873015874,45016.3,0.38412698412698415,20231.2,0.23492063492063492,45016.3,0.37587301587301586,20231.2,0.23555555555555555,45016.3,0.10666666666666667,57602.3,0.19428571428571428,45018.1,0.1034920634920635,75133.1,0.054603174603174605,45004.1
43,5,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.4,47200.1,0.8,53953.5,0.0,-1
44,1603,0.3605739238927012,717.573,0.19401122894572675,7327.37,0.3718028696194635,100.597,0.19401122894572675,7326.63,0.36743605739238927,100.005,0.19900187149095447,7133.71,0.34809731752963197,29018.2,0.19213973799126638,7140.08,0.3574547723019339,1400.49,0.19026824703680598,7553.37,0.31877729257641924,29017.4,0.1933873986275733,7547.89,0.3194011228945727,4199.59,0.1784154709918902,7530.15,0.32626325639426074,4199.59,0.17779164067373673,7553.37,0.32751091703056767,4199.59,0.17404865876481598,7377.15,0.20274485339987525,14864.9,0.14348097317529632,30903.7,0.11041796631316282,87757.7,0.037429819089207735,29137.1
45,3,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1,0.6666666666666666,4617.36,0.0,-1
46,1693,0.6692262256349675,1702.94,0.35144713526284704,6391.2,0.6574128765505021,1702.94,0.3455404607206143,6391.2,0.655050206733609,1713.86,0.3455404607206143,6368.87,0.6402835203780272,1717.02,0.3390431187241583,6390.06,0.6219728292971057,1717.02,0.33549911399881865,6391.2,0.5888954518606024,1713.48,0.3195510927347903,253162,0.5894861193148258,1719.15,0.31482575310100414,253162,0.5853514471352629,1715.44,0.30891907855877143,252017,0.5699940933254578,2203.05,0.3071470761961016,252017,0.2598936798582398,30816.7,0.2598936798582398,253162,0.238629651506202,36441.7,0.06142941523922032,252268
